YEAR,LOCATION,SV,MEASUREMENT_METHOD,OBSERVATION
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,99
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,113
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,119
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,123
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,118
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,122
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,121
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,115
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,128
1990,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,33
1991,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,33
1992,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,33
1993,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,34
1994,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,37
1995,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,38
1996,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,43
1997,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,43
1998,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,48
1999,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,47
1990,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,968
1991,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,978
1992,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,993
1993,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1006
1994,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1031
1995,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1074
1996,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1129
1997,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1151
1998,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1149
1999,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1153
2000,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1125
2001,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1166
2002,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1148
2003,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1136
2004,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1123
2005,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1146
2006,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1190
2007,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1225
2008,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1226
2009,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1217
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1183
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1182
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1165
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1166
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1141
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1135
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1114
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1097
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1118
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1157
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,1135
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1295
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1313
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1303
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1304
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1267
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1274
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1270
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1266
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1272
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1314
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,1307
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,17
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,11
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,13
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,12
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,20
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,17
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,12
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,17
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,18
2000,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2001,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2002,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,1
2003,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,3
2004,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,3
2005,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2006,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2007,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,6
2008,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2009,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,3
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,9
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,9
2000,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,173
2001,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,183
2002,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,190
2003,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,201
2004,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,211
2005,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,216
2006,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,221
2007,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,243
2008,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,246
2009,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,259
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,273
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,279
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,298
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,294
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,301
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,312
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,322
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,356
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,337
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,345
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,356
2010,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28823
2011,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28604
2012,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28430
2013,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28133
2014,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28154
2015,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,28042
2016,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27860
2017,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27737
2018,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27666
2019,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27688
2020,geoId/01093,dcid:Count_Person_NotHispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,27555
1990,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28704
1991,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28435
1992,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28561
1993,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28787
1994,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28956
1995,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29242
1996,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29570
1997,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29564
1998,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29502
1999,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29100
2000,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29341
2001,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28893
2002,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28726
2003,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28619
2004,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28581
2005,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28468
2006,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28643
2007,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28654
2008,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28714
2009,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28410
2010,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28570
2011,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28347
2012,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28151
2013,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27857
2014,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27872
2015,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27751
2016,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27560
2017,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27401
2018,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27353
2019,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27368
2020,geoId/01093,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27230
1990,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,287
1991,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,295
1992,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,318
1993,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,354
1994,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,390
1995,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,426
1996,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,468
1997,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,511
1998,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,557
1999,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,597
2000,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,4700
2001,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,5133
2002,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,5806
2003,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,6419
2004,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,6914
2005,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,7656
2006,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,8504
2007,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,9133
2008,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,9885
2009,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,10796
2010,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,11299
2011,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,11652
2012,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,11818
2013,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,11996
2014,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,12064
2015,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,12334
2016,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,12769
2017,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,13104
2018,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,13597
2019,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,13990
2020,geoId/01095,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,14517
2010,geoId/01095,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,681
2011,geoId/01095,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,664
2012,geoId/01095,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,650
