"Table with row headers in columns A, C, and D and column headers in row 6.",,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of States by Age, Sex, and Race:  1970-1979",,,,,,,,,,,,,,,,,,,,,
"Source:  1970-1979 Population Estimates by Age, Sex, and Race, PE-19",,,,,,,,,,,,,,,,,,,,,
"Internet Release Date:  November 5, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State Code,State Name,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
1977,28,Mississippi,Other races male,604,636,601,670,641,471,423,340,289,228,178,143,136,89,77,39,24,30
1977,28,Mississippi,Other races female,605,599,610,600,604,637,550,438,339,315,250,173,140,136,107,71,55,33
1977,29,Missouri,White male,"149,160","164,936","186,343","210,311","186,729","166,410","144,740","115,229","107,026","111,101","114,064","106,144","95,164","83,276","64,450","41,752","25,173","15,960"
1977,29,Missouri,White female,"141,156","156,998","177,209","203,039","189,402","168,835","147,875","119,894","110,477","116,692","122,968","119,019","110,900","106,308","90,824","67,895","47,427","36,171"
1977,29,Missouri,Black male,"22,930","24,399","27,574","29,030","21,988","16,796","13,164","10,917","10,034","9,917","9,633","8,530","7,680","6,886","5,134","3,390","1,877","1,233"
1977,29,Missouri,Black female,"22,428","24,407","27,282","29,364","24,829","20,406","16,396","13,503","12,884","12,431","12,152","10,725","9,844","8,891","6,942","5,062","2,787","2,261"
1977,29,Missouri,Other races male,"1,362","1,400","1,302","1,471","1,581","1,571","1,347","1,043",826,615,493,387,308,226,194,157,116,74
1977,29,Missouri,Other races female,"1,367","1,463","1,348","1,328","1,623","1,846","1,588","1,216",962,764,643,444,342,330,269,237,172,105
1977,30,Montana,White male,"28,238","29,899","33,219","37,438","34,178","31,582","27,144","20,660","18,514","18,398","18,615","17,833","16,023","13,027","9,274","5,478","3,481","2,969"
1977,30,Montana,White female,"26,740","28,541","32,038","35,753","33,382","30,655","25,656","20,180","18,286","18,126","18,827","18,160","16,674","14,113","10,356","7,617","5,913","5,191"
1977,30,Montana,Black male,114,103,81,164,298,139,92,72,51,28,28,15,14,15,13,11,2,1
1977,30,Montana,Black female,97,74,83,74,98,73,52,24,25,28,16,11,26,11,12,10,6,2
1977,30,Montana,Other races male,"2,347","2,273","2,400","2,456","1,863","1,438","1,127",832,753,632,555,468,393,351,220,146,91,57
1977,30,Montana,Other races female,"2,321","2,202","2,376","2,380","1,914","1,569","1,205",983,889,699,589,478,405,302,229,155,108,81
1977,31,Nebraska,White male,"55,987","59,989","65,736","73,295","69,711","60,382","50,435","38,890","35,437","36,942","37,917","34,409","30,710","27,218","21,201","15,013","9,954","6,806"
1977,31,Nebraska,White female,"53,665","57,433","62,934","71,913","69,492","59,827","49,724","38,695","35,835","37,842","38,604","36,901","34,899","32,899","28,538","23,090","17,320","14,162"
1977,31,Nebraska,Black male,"2,513","2,503","2,771","2,937","2,362","1,858","1,351","1,093",990,966,755,614,538,409,333,238,119,68
1977,31,Nebraska,Black female,"2,381","2,560","2,659","2,825","2,478","2,065","1,499","1,291","1,127",989,929,752,642,553,394,329,160,146
1977,31,Nebraska,Other races male,822,838,877,802,882,675,507,360,316,233,198,184,131,121,74,59,36,36
1977,31,Nebraska,Other races female,812,820,807,792,801,765,620,472,382,326,241,193,172,125,84,100,50,44
1977,32,Nevada,White male,"21,086","23,160","26,031","27,492","29,320","28,749","25,796","21,303","18,886","18,249","17,878","16,855","14,030","10,636","6,422","3,550","1,780",950
1977,32,Nevada,White female,"20,125","22,096","24,860","26,583","27,804","27,236","24,704","19,702","17,210","16,856","17,395","16,305","13,753","10,669","7,162","4,598","2,555","1,858"
1977,32,Nevada,Black male,"2,261","2,441","2,513","2,408","2,446","2,053","1,551","1,237","1,127",917,687,581,440,351,209,110,33,21
1977,32,Nevada,Black female,"2,218","2,400","2,446","2,389","2,321","2,088","1,582","1,276","1,084",915,695,533,475,347,210,123,60,39
1977,32,Nevada,Other races male,925,942,"1,068","1,209","1,081","1,009",909,671,622,464,404,364,265,216,164,87,41,36
1977,32,Nevada,Other races female,924,966,"1,054","1,157","1,141","1,252","1,071",851,710,664,510,349,274,212,132,91,44,44
1977,33,New Hampshire,White male,"30,465","35,795","40,470","42,975","38,405","35,741","33,109","25,246","21,485","21,910","21,800","19,921","17,162","14,387","10,427","6,634","3,839","2,301"
1977,33,New Hampshire,White female,"29,197","34,063","38,089","41,959","39,066","36,260","33,454","24,803","21,601","21,952","23,105","21,712","19,701","17,941","14,701","11,147","7,692","5,993"
1977,33,New Hampshire,Black male,207,178,171,261,358,224,161,126,108,76,65,44,33,28,13,5,6,5
1977,33,New Hampshire,Black female,207,182,154,180,209,138,111,84,71,52,45,33,23,26,17,14,6,4
1977,33,New Hampshire,Other races male,229,174,162,161,208,166,154,148,85,72,52,36,32,27,17,11,6,8
1977,33,New Hampshire,Other races female,216,167,135,147,200,243,230,170,113,111,64,54,31,31,34,25,11,10
1977,34,New Jersey,White male,"193,121","237,953","281,716","296,113","250,771","236,640","218,112","179,422","167,587","183,018","195,375","181,813","152,311","117,171","81,634","50,801","30,804","18,081"
1977,34,New Jersey,White female,"183,083","227,020","268,916","285,917","255,596","242,822","230,790","189,261","175,116","193,998","212,432","200,490","173,552","149,388","115,963","86,102","60,776","41,835"
1977,34,New Jersey,Black male,"40,502","45,870","51,677","50,057","36,338","31,216","26,827","23,506","22,533","20,356","18,288","15,192","11,577","8,795","5,899","3,673","1,764","1,076"
1977,34,New Jersey,Black female,"39,480","45,477","51,000","50,957","43,207","39,363","35,133","30,633","27,282","23,958","21,604","17,803","14,745","12,104","8,492","5,705","3,126","2,279"
1977,34,New Jersey,Other races male,"4,747","5,023","4,103","3,107","2,682","3,742","4,804","4,521","3,665","2,171","1,336","1,014",730,620,469,279,149,94
1977,34,New Jersey,Other races female,"4,736","4,799","3,767","2,872","3,191","5,041","5,988","4,516","3,154","2,008","1,531","1,174",990,781,541,354,200,130
1977,35,New Mexico,White male,"45,545","48,574","53,688","58,775","52,501","46,379","39,582","30,744","27,975","27,531","26,323","23,857","20,346","16,863","11,620","6,916","3,893","2,497"
1977,35,New Mexico,White female,"43,504","46,864","52,028","57,178","51,731","46,532","39,790","31,701","28,751","28,360","28,084","25,902","22,039","19,586","14,241","9,676","6,078","4,364"
1977,35,New Mexico,Black male,"1,237","1,196","1,294","1,456","1,619","1,163",769,589,520,477,408,353,277,232,187,104,58,30
1977,35,New Mexico,Black female,"1,170","1,145","1,236","1,333","1,247",940,666,540,505,488,448,349,317,311,170,129,60,52
1977,35,New Mexico,Other races male,"6,446","6,234","6,563","6,235","4,827","3,951","2,990","2,281","2,006","1,610","1,370","1,110",990,848,659,416,200,236
1977,35,New Mexico,Other races female,"6,398","6,442","6,592","6,586","5,495","4,431","3,429","2,851","2,466","2,044","1,653","1,284","1,110",981,665,394,203,221
1977,36,New York,White male,"470,479","561,697","649,807","697,279","623,272","587,404","519,941","407,212","382,003","410,683","434,383","403,932","350,563","282,528","207,341","134,823","83,683","50,144"
1977,36,New York,White female,"446,797","534,604","620,384","685,878","651,019","608,186","546,737","434,228","405,176","443,708","483,382","457,856","412,069","370,547","301,357","229,402","160,004","111,856"
1977,36,New York,Black male,"102,628","111,201","128,469","126,435","95,698","86,269","75,973","67,038","62,523","54,804","50,387","42,360","32,428","24,126","15,760","9,646","4,598","2,659"
1977,36,New York,Black female,"101,314","110,404","127,344","131,258","115,891","109,727","98,282","88,743","78,492","69,503","66,108","56,165","46,030","37,591","25,297","16,606","8,548","6,196"
1977,36,New York,Other races male,"13,386","14,059","13,271","12,674","12,298","14,312","15,361","12,289","10,632","8,338","6,508","5,203","4,134","3,485","2,540","1,674",837,484
1977,36,New York,Other races female,"13,167","13,597","12,523","12,126","13,141","16,261","16,797","12,359","9,935","7,730","6,615","5,193","4,320","3,633","2,548","1,665",966,635
1977,37,North Carolina,White male,"145,954","169,516","184,042","211,925","217,441","180,310","163,931","129,516","117,813","119,199","117,445","105,287","87,731","70,102","47,189","28,811","15,561","9,370"
1977,37,North Carolina,White female,"138,318","160,064","174,586","198,116","200,224","180,991","164,856","132,929","122,361","125,066","127,022","118,163","105,103","93,419","70,759","49,388","30,892","21,731"
1977,37,North Carolina,Black male,"55,215","62,757","70,015","76,852","66,755","47,493","34,726","26,320","24,423","23,464","23,892","22,677","20,421","17,560","11,411","6,931","3,573","2,451"
1977,37,North Carolina,Black female,"54,651","62,181","68,877","76,201","68,829","53,083","39,141","31,257","29,618","29,511","30,376","27,771","25,611","23,642","16,178","11,078","6,078","4,828"
1977,37,North Carolina,Other races male,"4,109","4,210","4,191","4,460","4,458","3,395","2,766","2,151","1,824","1,364","1,105",987,800,625,427,274,127,114
1977,37,North Carolina,Other races female,"3,966","4,185","4,054","4,108","4,271","3,979","3,298","2,526","2,110","1,760","1,459","1,240","1,022",798,533,327,208,154
1977,38,North Dakota,White male,"24,410","25,295","28,566","33,370","33,670","26,828","21,004","15,449","14,281","14,839","15,419","14,706","13,788","11,980","9,095","6,104","3,808","2,687"
1977,38,North Dakota,White female,"22,949","24,102","27,068","31,820","31,149","24,138","19,097","15,033","14,188","14,916","15,291","14,723","14,173","13,337","10,682","7,907","5,615","4,579"
1977,38,North Dakota,Black male,173,142,93,186,519,231,122,190,75,15,5,1,5,3,4,2,3,5
1977,38,North Dakota,Black female,154,124,77,80,142,118,72,54,29,10,7,2,6,3,2,3,2,1
1977,38,North Dakota,Other races male,"1,392","1,347","1,435","1,333","1,053",721,567,493,407,288,275,207,180,159,132,62,30,24
1977,38,North Dakota,Other races female,"1,401","1,304","1,397","1,272","1,052",827,664,493,463,370,291,256,209,161,119,94,46,44
1977,39,Ohio,White male,"348,986","400,001","440,494","476,472","429,336","388,058","335,649","259,559","242,282","256,090","267,625","244,021","201,728","153,665","110,902","70,819","44,567","28,336"
1977,39,Ohio,White female,"331,682","379,988","419,735","467,733","441,485","393,929","343,011","272,118","253,044","268,714","288,723","269,247","230,648","195,643","159,348","118,255","85,468","63,581"
1977,39,Ohio,Black male,"47,102","50,009","54,987","57,195","45,304","37,352","28,815","23,297","23,448","24,603","24,502","21,253","17,217","13,142","9,050","6,115","3,058","1,893"
1977,39,Ohio,Black female,"46,028","49,402","54,419","59,746","53,675","44,968","35,296","29,307","29,040","29,327","28,425","24,010","19,719","16,332","12,092","8,464","4,680","3,433"
1977,39,Ohio,Other races male,"2,695","2,686","2,386","2,129","2,382","2,729","2,468","2,068","1,817","1,221",895,650,464,367,273,180,108,78
1977,39,Ohio,Other races female,"2,756","2,636","2,398","2,138","2,510","3,175","2,993","2,271","1,740","1,394","1,115",762,656,520,378,328,202,147
1977,40,Oklahoma,White male,"90,223","97,170","104,050","120,150","118,715","101,812","86,907","68,921","63,807","65,037","65,580","60,619","53,433","48,120","37,130","23,650","13,807","8,673"
1977,40,Oklahoma,White female,"85,434","91,904","98,312","113,580","111,987","100,051","87,175","71,099","65,682","67,925","69,853","66,135","62,059","60,975","50,712","36,720","24,965","19,285"
1977,40,Oklahoma,Black male,"9,754","9,757","10,544","12,377","11,015","7,268","4,960","3,773","3,499","3,288","3,246","2,968","2,803","2,759","2,218","1,606",897,684
1977,40,Oklahoma,Black female,"9,723","9,473","10,302","11,355","9,947","7,665","5,623","4,649","4,244","4,133","4,094","3,774","3,663","3,622","3,068","2,197","1,329","1,091"
1977,40,Oklahoma,Other races male,"8,197","8,306","9,406","9,766","7,694","5,985","4,765","3,880","3,405","3,100","3,008","2,767","2,364","2,125","1,593",988,530,301
1977,40,Oklahoma,Other races female,"7,819","8,116","8,919","9,396","7,445","6,254","5,259","4,341","3,920","3,608","3,460","3,245","2,901","2,808","2,149","1,492",883,645
1977,41,Oregon,White male,"84,480","91,485","101,087","109,088","102,844","106,713","92,921","68,807","58,149","57,158","58,741","57,100","51,786","44,469","31,495","20,486","12,220","8,101"
1977,41,Oregon,White female,"79,820","87,201","96,833","106,128","105,679","105,830","91,244","67,816","57,945","58,733","62,561","61,519","56,486","50,334","39,159","29,344","20,635","16,659"
1977,41,Oregon,Black male,"1,672","1,712","1,775","2,001","2,002","1,763","1,258",873,752,665,643,625,527,427,321,160,60,38
1977,41,Oregon,Black female,"1,622","1,609","1,708","1,955","1,725","1,469","1,095",788,695,688,722,622,551,414,314,183,85,94
1977,41,Oregon,Other races male,"2,607","2,633","2,700","2,972","3,226","2,961","2,191","1,537","1,224","1,088",939,825,632,488,393,211,113,103
1977,41,Oregon,Other races female,"2,547","2,648","2,709","3,102","3,295","3,015","2,334","1,689","1,375","1,265","1,131",853,622,466,354,275,172,113
1977,42,Pennsylvania,White male,"339,164","404,312","463,616","512,923","461,141","408,619","348,770","273,854","262,492","293,444","319,557","304,244","263,915","208,265","146,278","91,438","56,251","33,568"
1977,42,Pennsylvania,White female,"322,527","385,195","442,371","503,777","471,377","411,605","356,985","289,154","277,823","316,398","353,761","344,717","308,672","267,238","210,870","153,301","106,258","75,569"
1977,42,Pennsylvania,Black male,"40,867","47,476","54,933","56,083","42,797","35,819","28,594","22,670","22,960","23,723","24,463","21,893","17,841","14,106","10,394","6,788","3,483","2,001"
1977,42,Pennsylvania,Black female,"40,432","46,883","54,169","58,179","50,786","43,417","35,373","29,902","29,700","29,830","30,227","26,941","22,637","19,498","14,243","10,075","5,430","3,882"
1977,42,Pennsylvania,Other races male,"3,192","3,403","2,901","2,691","2,855","3,184","2,999","2,446","2,107","1,429","1,043",745,587,502,380,282,191,103
1977,42,Pennsylvania,Other races female,"3,137","3,273","2,833","2,590","2,968","3,661","3,449","2,627","2,045","1,564","1,220",890,736,695,528,398,208,153
1977,44,Rhode Island,White male,"27,914","34,213","39,754","44,298","41,689","34,927","30,157","22,927","20,979","23,474","26,121","24,950","21,566","16,951","12,142","7,813","4,991","2,907"
1977,44,Rhode Island,White female,"26,761","32,702","37,886","44,365","43,227","35,898","31,198","24,045","22,199","25,512","28,910","28,459","25,774","22,748","18,805","13,880","9,934","7,246"
1977,44,Rhode Island,Black male,"1,566","1,544","1,600","1,763","1,528","1,327",957,673,641,607,578,456,332,265,154,132,81,43
1977,44,Rhode Island,Black female,"1,529","1,530","1,561","1,777","1,688","1,305",934,802,753,707,657,510,455,332,268,168,103,94
1977,44,Rhode Island,Other races male,426,437,401,399,410,428,334,264,240,174,152,117,93,84,52,42,28,16
1977,44,Rhode Island,Other races female,406,372,384,429,443,444,323,283,246,196,160,144,128,119,76,65,37,39
1977,45,South Carolina,White male,"74,213","83,675","89,007","106,660","111,016","89,866","80,852","62,955","55,226","55,319","54,250","49,683","40,285","31,229","20,078","11,377","5,932","3,218"
1977,45,South Carolina,White female,"70,313","79,262","84,504","96,194","97,780","88,305","78,791","62,306","56,743","57,306","58,416","55,033","47,933","41,657","30,982","20,667","12,827","9,087"
1977,45,South Carolina,Black male,"42,991","46,833","52,416","57,504","46,224","33,424","25,111","18,244","16,329","15,972","15,757","15,019","13,817","12,012","7,280","4,464","2,281","1,515"
1977,45,South Carolina,Black female,"42,183","46,940","51,782","57,216","49,724","37,869","27,517","21,807","20,291","20,011","20,150","18,889","17,592","16,562","10,971","7,348","4,268","3,351"
1977,45,South Carolina,Other races male,680,744,661,729,975,643,653,488,412,246,173,137,99,84,64,31,11,23
1977,45,South Carolina,Other races female,644,736,645,591,771,870,827,591,462,392,263,168,160,123,89,60,31,21
1977,46,South Dakota,White male,"24,502","25,339","28,658","33,704","30,954","24,915","20,237","15,199","14,519","16,015","16,838","16,076","14,410","12,287","9,582","6,982","4,564","3,188"
1977,46,South Dakota,White female,"23,370","24,561","27,552","33,275","29,920","23,457","19,283","15,481","15,164","16,080","16,750","16,207","15,350","14,081","12,063","9,754","7,300","5,992"
1977,46,South Dakota,Black male,130,95,77,160,392,180,94,91,42,24,18,14,12,8,7,7,7,2
1977,46,South Dakota,Black female,122,87,59,86,102,81,40,42,21,17,13,10,10,7,10,7,5,2
1977,46,South Dakota,Other races male,"3,041","2,971","3,014","2,756","1,917","1,479","1,126",857,782,684,572,570,444,370,269,200,83,70
1977,46,South Dakota,Other races female,"3,109","2,995","2,904","2,717","1,999","1,672","1,231","1,028",880,828,693,582,477,360,304,195,143,92
1977,47,Tennessee,White male,"128,125","146,743","159,890","178,503","165,128","149,828","137,457","108,571","98,453","98,311","97,799","88,708","76,724","65,263","45,832","28,450","15,663","9,571"
1977,47,Tennessee,White female,"121,100","139,274","151,152","169,201","165,431","152,864","138,442","112,252","102,665","104,893","106,903","100,634","90,198","82,442","65,313","46,220","29,767","21,260"
1977,47,Tennessee,Black male,"31,502","34,332","37,754","40,614","33,026","24,736","17,858","12,971","12,327","12,382","12,245","11,932","11,219","10,867","7,723","5,091","2,756","1,882"
1977,47,Tennessee,Black female,"30,683","33,704","37,459","41,604","37,302","29,398","21,266","17,182","16,471","16,218","16,028","14,821","14,293","13,965","10,387","7,239","4,165","3,392"
1977,47,Tennessee,Other races male,744,694,650,761,995,854,730,615,486,335,236,160,140,104,67,49,32,26
1977,47,Tennessee,Other races female,717,729,635,627,883,"1,043",927,671,516,451,332,218,194,168,157,98,70,53
1977,48,Texas,White male,"456,790","492,640","519,327","571,952","575,357","506,691","423,794","326,541","290,635","291,698","283,390","250,836","211,172","178,561","128,841","79,957","43,774","26,426"
1977,48,Texas,White female,"434,996","472,868","496,656","548,306","549,830","493,666","420,311","329,524","295,684","300,526","302,129","271,446","238,484","220,938","174,407","126,531","82,509","60,618"
1977,48,Texas,Black male,"75,106","79,646","85,925","92,259","83,067","63,176","46,369","35,979","32,842","31,957","29,597","26,128","23,054","21,413","16,179","10,492","5,682","3,948"
1977,48,Texas,Black female,"73,914","78,668","84,989","90,070","82,861","69,246","52,347","42,006","38,781","37,496","35,422","30,764","28,180","27,019","20,682","14,440","8,458","6,754"
1977,48,Texas,Other races male,"6,410","6,260","5,912","6,097","7,566","7,504","6,292","4,612","3,561","2,571","1,868","1,443","1,105",832,612,338,184,122
1977,48,Texas,Other races female,"6,151","6,120","5,549","5,391","6,908","8,476","7,047","5,099","3,969","3,156","2,346","1,664","1,312","1,050",789,512,268,191
1977,49,Utah,White male,"76,901","65,284","60,844","65,064","66,586","57,428","43,314","31,840","27,796","26,853","25,880","23,192","19,778","15,909","11,454","7,300","4,185","2,620"
1977,49,Utah,White female,"73,073","62,605","58,437","66,084","69,894","55,072","42,848","32,082","28,162","27,108","26,864","24,458","21,338","18,742","14,806","10,417","6,921","4,885"
1977,49,Utah,Black male,420,379,347,"1,128",832,515,291,226,166,143,158,147,105,83,50,33,16,14
1977,49,Utah,Black female,434,361,329,439,427,323,214,160,131,133,131,135,92,55,63,35,24,20
1977,49,Utah,Other races male,"1,963","1,719","1,826","2,167","1,915","1,647","1,012",719,560,470,474,353,268,179,158,82,54,55
1977,49,Utah,Other races female,"1,980","1,770","1,842","2,236","1,999","1,627","1,100",760,650,555,496,350,291,180,123,122,108,50
1977,50,Vermont,White male,"17,790","20,496","23,038","25,357","22,580","20,179","18,495","13,724","11,689","11,767","11,540","10,684","9,421","8,064","6,038","3,996","2,330","1,492"
1977,50,Vermont,White female,"16,892","19,342","21,760","25,281","23,110","20,777","18,216","13,560","11,770","11,978","12,410","11,722","10,723","9,879","8,289","6,317","4,584","3,877"
1977,50,Vermont,Black male,63,54,55,80,100,68,50,41,29,18,12,13,11,8,12,3,2,3
1977,50,Vermont,Black female,49,49,45,68,72,49,30,25,17,13,16,11,10,7,6,6,3,2
1977,50,Vermont,Other races male,113,91,81,87,98,94,87,60,52,33,19,20,11,12,10,6,3,4
1977,50,Vermont,Other races female,102,110,93,79,113,136,109,62,54,33,25,28,17,19,15,19,13,5
1977,51,Virginia,White male,"139,132","162,147","179,720","202,550","216,264","184,945","167,477","133,588","116,793","113,567","112,049","99,786","80,532","61,190","40,885","25,129","13,894","8,224"
1977,51,Virginia,White female,"131,647","153,566","171,857","191,132","197,653","183,531","167,788","133,087","115,359","116,145","119,353","108,945","91,851","78,153","60,177","43,779","29,049","21,244"
1977,51,Virginia,Black male,"39,399","44,749","52,216","57,559","49,680","38,093","28,710","22,772","21,254","21,167","21,448","20,177","17,421","13,997","8,871","5,752","3,109","1,982"
1977,51,Virginia,Black female,"38,605","44,680","52,228","57,501","51,769","41,391","31,580","25,950","24,777","24,107","24,474","22,277","19,639","17,217","11,518","8,567","4,980","3,917"
1977,51,Virginia,Other races male,"2,745","3,102","2,767","2,558","3,128","3,018","2,810","2,514","2,023","1,311",893,604,429,326,211,126,75,59
1977,51,Virginia,Other races female,"2,709","3,114","2,658","2,244","2,798","3,680","3,692","3,023","2,167","1,578","1,053",698,547,447,302,194,109,72
1977,53,Washington,White male,"123,581","139,297","155,921","171,211","167,977","157,940","140,087","106,162","91,090","90,113","91,644","86,938","76,088","61,260","42,912","26,799","16,171","11,418"
1977,53,Washington,White female,"117,509","133,054","147,929","163,191","159,451","155,300","137,481","103,155","88,562","89,340","95,411","92,006","81,225","71,379","55,429","41,071","30,001","24,307"
1977,53,Washington,Black male,"4,411","4,337","4,592","5,762","7,878","5,523","3,512","2,704","2,222","2,078","1,913","1,686","1,328",903,620,293,132,111
1977,53,Washington,Black female,"4,325","4,381","4,576","4,811","4,886","4,181","3,067","2,092","1,888","1,790","1,871","1,630","1,170",854,565,414,241,167
1977,53,Washington,Other races male,"6,196","6,635","6,891","7,590","7,888","6,675","5,011","3,845","3,313","2,755","2,366","2,175","1,738","1,520","1,143",634,271,229
1977,53,Washington,Other races female,"6,162","6,555","6,589","7,187","7,330","7,227","5,923","4,717","4,070","3,674","3,181","2,351","1,661","1,243",875,694,458,325
1977,54,West Virginia,White male,"68,978","76,400","81,266","87,950","79,226","71,166","61,888","47,235","44,122","46,583","49,561","46,356","40,669","34,183","24,409","15,708","9,294","5,940"
1977,54,West Virginia,White female,"65,457","72,614","77,106","85,719","81,929","72,165","61,342","48,829","47,141","51,121","54,628","52,272","47,531","41,881","33,373","23,683","15,173","11,178"
1977,54,West Virginia,Black male,"2,544","2,753","3,277","3,948","3,307","2,071","1,389",980,971,"1,074","1,334","1,459","1,436","1,390","1,110",874,465,298
1977,54,West Virginia,Black female,"2,435","2,678","3,072","3,821","3,471","2,372","1,536","1,325","1,323","1,607","1,936","1,867","1,912","1,915","1,559","1,079",680,461
1977,54,West Virginia,Other races male,268,299,257,207,265,264,245,256,205,148,78,63,54,45,34,24,11,11
1977,54,West Virginia,Other races female,305,292,263,226,284,340,316,280,189,164,116,88,63,61,79,47,29,15
1977,55,Wisconsin,White male,"156,610","178,812","207,126","227,817","202,029","178,526","149,455","115,154","106,095","109,751","112,254","104,431","93,307","78,572","59,885","40,287","25,133","15,929"
1977,55,Wisconsin,White female,"148,163","169,707","197,947","222,424","204,228","175,062","148,386","116,557","106,631","111,586","117,346","113,166","104,719","93,744","77,599","59,163","42,557","32,713"
1977,55,Wisconsin,Black male,"9,560","10,191","10,342","9,901","8,129","6,933","5,037","3,831","3,515","3,142","2,743","2,139","1,579","1,108",690,442,218,158
1977,55,Wisconsin,Black female,"9,527","10,143","10,255","10,110","9,266","8,167","6,091","4,684","4,156","3,564","3,007","2,230","1,720","1,334",936,609,317,278
1977,55,Wisconsin,Other races male,"2,442","2,560","2,507","2,451","2,372","2,118","1,549","1,277","1,046",825,675,503,414,325,279,176,110,73
1977,55,Wisconsin,Other races female,"2,414","2,662","2,477","2,458","2,331","2,166","1,783","1,328","1,116",950,714,587,507,436,314,225,143,103
1977,56,Wyoming,White male,"17,665","17,652","17,940","20,007","21,658","20,731","16,013","11,818","10,270","9,995","9,897","8,503","7,123","5,749","4,016","2,583","1,660","1,110"
1977,56,Wyoming,White female,"16,885","16,539","16,889","18,794","19,708","18,190","14,299","11,054","9,731","9,571","9,461","8,460","7,266","6,468","4,794","3,675","2,466","1,912"
1977,56,Wyoming,Black male,149,145,144,214,378,198,120,82,77,51,60,40,34,28,24,11,11,10
1977,56,Wyoming,Black female,152,137,144,164,181,127,86,57,55,62,50,41,43,33,19,18,7,9
1977,56,Wyoming,Other races male,440,450,441,443,466,373,267,210,167,146,117,127,73,47,46,33,10,19
1977,56,Wyoming,Other races female,417,441,478,440,413,398,299,241,231,176,134,99,76,66,40,30,28,11
1978,01,Alabama,White male,"99,458","112,961","120,366","135,553","128,216","113,308","103,940","86,273","76,522","76,143","75,445","69,300","59,920","50,159","35,782","21,672","11,179","6,895"
1978,01,Alabama,White female,"95,240","107,058","113,443","130,369","127,880","114,140","104,759","88,428","79,427","79,535","81,612","77,830","70,607","64,076","51,951","35,334","22,046","16,647"
1978,01,Alabama,Black male,"46,686","50,530","53,281","58,171","44,567","33,088","24,053","18,083","16,440","16,541","16,911","16,504","15,976","15,831","11,762","7,872","3,911","2,657"
1978,01,Alabama,Black female,"46,324","49,607","52,445","59,839","52,529","38,898","28,340","22,821","22,101","22,506","23,008","21,644","20,945","21,532","16,270","11,298","6,399","5,575"
1978,01,Alabama,Other races male,655,744,727,728,773,726,652,562,392,322,218,183,151,117,98,54,22,27
1978,01,Alabama,Other races female,685,729,702,652,844,947,876,651,517,479,359,238,184,188,148,112,52,38
1978,02,Alaska,White male,"14,689","14,410","14,242","15,125","19,450","20,700","18,207","13,942","10,278","8,470","7,368","5,529","3,453","1,806",943,521,255,150
1978,02,Alaska,White female,"13,858","13,629","13,186","13,117","16,448","18,644","15,633","11,383","8,143","6,885","5,919","4,633","2,830","1,537",986,560,280,235
1978,02,Alaska,Black male,802,689,541,662,"1,595","1,223",667,435,319,257,190,135,90,49,27,13,4,8
1978,02,Alaska,Black female,791,686,548,536,882,837,450,319,262,208,156,127,81,43,27,10,9,6
1978,02,Alaska,Other races male,"4,074","4,064","4,423","4,529","3,667","3,118","2,399","1,956","1,659","1,449","1,194",984,711,637,420,265,101,115
1978,02,Alaska,Other races female,"3,844","3,963","4,197","4,417","3,709","3,168","2,539","1,995","1,669","1,446","1,171",923,740,577,336,251,112,101
1978,04,Arizona,White male,"87,273","90,405","95,588","108,416","111,659","98,531","84,343","65,998","56,097","54,089","53,736","52,622","49,768","46,451","34,727","20,144","10,610","5,661"
1978,04,Arizona,White female,"83,537","86,669","92,297","104,614","108,203","95,989","82,845","67,056","56,628","55,719","59,560","60,778","57,844","54,156","41,223","26,522","15,669","10,468"
1978,04,Arizona,Black male,"3,505","3,566","3,675","4,472","4,640","3,420","2,462","1,811","1,628","1,459","1,220","1,082",999,878,627,411,188,145
1978,04,Arizona,Black female,"3,309","3,486","3,666","3,888","3,663","2,873","2,145","1,757","1,547","1,447","1,296","1,166","1,023",965,655,503,256,194
1978,04,Arizona,Other races male,"9,735","9,751","10,226","10,244","8,015","6,176","4,946","3,753","3,360","2,748","2,235","1,946","1,496","1,319","1,059",705,339,356
1978,04,Arizona,Other races female,"9,612","9,850","10,135","10,325","8,622","6,859","5,488","4,470","3,900","3,522","2,869","2,275","1,702","1,481",941,720,354,395
1978,05,Arkansas,White male,"66,768","73,055","76,656","86,349","77,590","69,856","64,549","54,135","47,305","45,870","46,378","45,340","43,858","40,800","30,763","18,706","10,508","6,805"
1978,05,Arkansas,White female,"62,776","69,156","72,746","83,254","78,303","71,058","65,677","55,956","48,353","48,511","50,550","51,819","50,338","47,779","39,529","27,321","17,194","12,955"
1978,05,Arkansas,Black male,"19,541","19,644","20,662","22,288","15,872","11,466","8,255","6,064","5,415","5,437","5,611","5,791","6,207","6,566","5,423","4,039","2,203","1,875"
