territory,value,period,statisticalVariable
IN-CT,2.1,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,21.0,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,4.0,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,11.0,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,3.9,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,5.4,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JH,3.7,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,3.4,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,19.6,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,1.2,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,2.8,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,17.8,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,0.9,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,8.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,33.4,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,5.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,10.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,1.2,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,3.9,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,6.1,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,7.9,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UT,7.6,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,1.5,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,1.7,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,39.0,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CH,1.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,26.6,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,37.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN,3.8,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,3.9,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,12.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,6.8,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,1.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CT,0.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,19.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,1.8,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,6.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,4.3,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,6.0,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JH,0.6,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,1.4,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,15.6,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,0.7,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,3.3,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,15.6,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,2.1,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,8.1,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,21.4,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,4.2,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,8.3,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,2.1,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,1.8,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,5.5,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,28.3,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UT,13.3,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,1.8,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,1.4,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,34.2,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CH,9.1,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,45.6,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,10.0,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN,3.5,2019-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,0.4,1994-03,dcs:UnemploymentRate_Person_Rural
IN-AR,1.0,1994-03,dcs:UnemploymentRate_Person_Rural
IN-AS,5.2,1994-03,dcs:UnemploymentRate_Person_Rural
IN-BR,1.6,1994-03,dcs:UnemploymentRate_Person_Rural
IN-GA,9.0,1994-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,0.9,1994-03,dcs:UnemploymentRate_Person_Rural
IN-HR,1.1,1994-03,dcs:UnemploymentRate_Person_Rural
IN-HP,0.5,1994-03,dcs:UnemploymentRate_Person_Rural
IN-JK,0.7,1994-03,dcs:UnemploymentRate_Person_Rural
IN-KA,0.7,1994-03,dcs:UnemploymentRate_Person_Rural
IN-KL,6.9,1994-03,dcs:UnemploymentRate_Person_Rural
IN-MP,0.5,1994-03,dcs:UnemploymentRate_Person_Rural
IN-MH,0.8,1994-03,dcs:UnemploymentRate_Person_Rural
IN-MN,1.0,1994-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.2,1994-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,1.0,1994-03,dcs:UnemploymentRate_Person_Rural
IN-NL,1.4,1994-03,dcs:UnemploymentRate_Person_Rural
IN-OR,1.4,1994-03,dcs:UnemploymentRate_Person_Rural
IN-PB,1.3,1994-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,0.3,1994-03,dcs:UnemploymentRate_Person_Rural
IN-SK,0.7,1994-03,dcs:UnemploymentRate_Person_Rural
IN-TN,1.3,1994-03,dcs:UnemploymentRate_Person_Rural
IN-TR,2.3,1994-03,dcs:UnemploymentRate_Person_Rural
IN-UP,0.7,1994-03,dcs:UnemploymentRate_Person_Rural
IN-WB,1.8,1994-03,dcs:UnemploymentRate_Person_Rural
IN-AN,2.1,1994-03,dcs:UnemploymentRate_Person_Rural
IN-CH,2.9,1994-03,dcs:UnemploymentRate_Person_Rural
IN-DN,0.8,1994-03,dcs:UnemploymentRate_Person_Rural
IN-DD,1.2,1994-03,dcs:UnemploymentRate_Person_Rural
IN-LD,16.9,1994-03,dcs:UnemploymentRate_Person_Rural
IN-PY,2.4,1994-03,dcs:UnemploymentRate_Person_Rural
IN,1.2,1994-03,dcs:UnemploymentRate_Person_Rural
IN-AP,0.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-AR,0.5,2000-03,dcs:UnemploymentRate_Person_Rural
IN-AS,3.9,2000-03,dcs:UnemploymentRate_Person_Rural
IN-BR,1.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-DL,4.7,2000-03,dcs:UnemploymentRate_Person_Rural
IN-GA,9.3,2000-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,0.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-HR,0.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-HP,1.2,2000-03,dcs:UnemploymentRate_Person_Rural
IN-JK,1.1,2000-03,dcs:UnemploymentRate_Person_Rural
IN-KA,0.7,2000-03,dcs:UnemploymentRate_Person_Rural
IN-KL,8.2,2000-03,dcs:UnemploymentRate_Person_Rural
IN-MP,0.5,2000-03,dcs:UnemploymentRate_Person_Rural
IN-MH,1.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-MN,1.9,2000-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,0.9,2000-03,dcs:UnemploymentRate_Person_Rural
IN-NL,2.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-OR,1.9,2000-03,dcs:UnemploymentRate_Person_Rural
IN-PB,1.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,0.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-SK,2.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-TN,2.0,2000-03,dcs:UnemploymentRate_Person_Rural
IN-TR,1.2,2000-03,dcs:UnemploymentRate_Person_Rural
IN-UP,0.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-WB,2.8,2000-03,dcs:UnemploymentRate_Person_Rural
IN-AN,3.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-CH,0.7,2000-03,dcs:UnemploymentRate_Person_Rural
IN-DN,1.0,2000-03,dcs:UnemploymentRate_Person_Rural
IN-DD,1.0,2000-03,dcs:UnemploymentRate_Person_Rural
IN-LD,19.4,2000-03,dcs:UnemploymentRate_Person_Rural
IN-PY,4.0,2000-03,dcs:UnemploymentRate_Person_Rural
IN,1.5,2000-03,dcs:UnemploymentRate_Person_Rural
IN-AP,0.7,2005-03,dcs:UnemploymentRate_Person_Rural
IN-AR,0.9,2005-03,dcs:UnemploymentRate_Person_Rural
IN-AS,2.6,2005-03,dcs:UnemploymentRate_Person_Rural
IN-BR,1.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-CT,0.6,2005-03,dcs:UnemploymentRate_Person_Rural
IN-DL,1.9,2005-03,dcs:UnemploymentRate_Person_Rural
IN-GA,11.1,2005-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,0.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-HR,2.2,2005-03,dcs:UnemploymentRate_Person_Rural
IN-HP,1.8,2005-03,dcs:UnemploymentRate_Person_Rural
IN-JK,1.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-JH,1.4,2005-03,dcs:UnemploymentRate_Person_Rural
IN-KA,0.7,2005-03,dcs:UnemploymentRate_Person_Rural
IN-KL,10.7,2005-03,dcs:UnemploymentRate_Person_Rural
IN-MP,0.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-MH,1.0,2005-03,dcs:UnemploymentRate_Person_Rural
IN-MN,1.1,2005-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,0.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-NL,1.8,2005-03,dcs:UnemploymentRate_Person_Rural
IN-OR,5.0,2005-03,dcs:UnemploymentRate_Person_Rural
IN-PB,3.8,2005-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,0.7,2005-03,dcs:UnemploymentRate_Person_Rural
IN-SK,2.4,2005-03,dcs:UnemploymentRate_Person_Rural
IN-TN,1.2,2005-03,dcs:UnemploymentRate_Person_Rural
IN-TR,13.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-UT,1.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-UP,0.6,2005-03,dcs:UnemploymentRate_Person_Rural
IN-WB,2.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-AN,6.2,2005-03,dcs:UnemploymentRate_Person_Rural
IN-CH,2.6,2005-03,dcs:UnemploymentRate_Person_Rural
IN-DN,3.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-DD,0.3,2005-03,dcs:UnemploymentRate_Person_Rural
IN-LD,7.5,2005-03,dcs:UnemploymentRate_Person_Rural
IN-PY,7.0,2005-03,dcs:UnemploymentRate_Person_Rural
IN,1.7,2005-03,dcs:UnemploymentRate_Person_Rural
IN-AP,1.2,2010-03,dcs:UnemploymentRate_Person_Rural
IN-AR,1.3,2010-03,dcs:UnemploymentRate_Person_Rural
IN-AS,3.9,2010-03,dcs:UnemploymentRate_Person_Rural
IN-BR,2.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN-CT,0.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-DL,1.7,2010-03,dcs:UnemploymentRate_Person_Rural
IN-GA,4.7,2010-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,0.8,2010-03,dcs:UnemploymentRate_Person_Rural
IN-HR,1.8,2010-03,dcs:UnemploymentRate_Person_Rural
IN-HP,1.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-JK,2.5,2010-03,dcs:UnemploymentRate_Person_Rural
IN-JH,3.9,2010-03,dcs:UnemploymentRate_Person_Rural
IN-KA,0.5,2010-03,dcs:UnemploymentRate_Person_Rural
IN-KL,7.5,2010-03,dcs:UnemploymentRate_Person_Rural
IN-MP,0.7,2010-03,dcs:UnemploymentRate_Person_Rural
IN-MH,0.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-MN,3.8,2010-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.4,2010-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,1.3,2010-03,dcs:UnemploymentRate_Person_Rural
IN-NL,10.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-OR,3.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN-PB,2.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,0.4,2010-03,dcs:UnemploymentRate_Person_Rural
IN-SK,4.3,2010-03,dcs:UnemploymentRate_Person_Rural
IN-TN,1.5,2010-03,dcs:UnemploymentRate_Person_Rural
IN-TR,9.2,2010-03,dcs:UnemploymentRate_Person_Rural
IN-UT,1.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-UP,1.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN-WB,1.9,2010-03,dcs:UnemploymentRate_Person_Rural
IN-AN,8.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN-CH,24.7,2010-03,dcs:UnemploymentRate_Person_Rural
IN-DN,4.8,2010-03,dcs:UnemploymentRate_Person_Rural
IN-DD,4.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN-LD,9.7,2010-03,dcs:UnemploymentRate_Person_Rural
IN-PY,3.0,2010-03,dcs:UnemploymentRate_Person_Rural
IN,1.6,2010-03,dcs:UnemploymentRate_Person_Rural
IN-AP,1.2,2012-03,dcs:UnemploymentRate_Person_Rural
IN-AR,1.7,2012-03,dcs:UnemploymentRate_Person_Rural
IN-AS,4.5,2012-03,dcs:UnemploymentRate_Person_Rural
IN-BR,3.2,2012-03,dcs:UnemploymentRate_Person_Rural
IN-CT,0.8,2012-03,dcs:UnemploymentRate_Person_Rural
IN-DL,7.8,2012-03,dcs:UnemploymentRate_Person_Rural
IN-GA,5.1,2012-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,0.3,2012-03,dcs:UnemploymentRate_Person_Rural
IN-HR,2.4,2012-03,dcs:UnemploymentRate_Person_Rural
IN-HP,1.0,2012-03,dcs:UnemploymentRate_Person_Rural
IN-JK,2.5,2012-03,dcs:UnemploymentRate_Person_Rural
IN-JH,2.1,2012-03,dcs:UnemploymentRate_Person_Rural
IN-KA,0.9,2012-03,dcs:UnemploymentRate_Person_Rural
IN-KL,6.8,2012-03,dcs:UnemploymentRate_Person_Rural
IN-MP,0.4,2012-03,dcs:UnemploymentRate_Person_Rural
IN-MH,0.7,2012-03,dcs:UnemploymentRate_Person_Rural
IN-MN,2.6,2012-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.4,2012-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,1.8,2012-03,dcs:UnemploymentRate_Person_Rural
IN-NL,15.1,2012-03,dcs:UnemploymentRate_Person_Rural
IN-OR,2.2,2012-03,dcs:UnemploymentRate_Person_Rural
IN-PB,1.9,2012-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,0.7,2012-03,dcs:UnemploymentRate_Person_Rural
IN-SK,1.0,2012-03,dcs:UnemploymentRate_Person_Rural
IN-TN,2.0,2012-03,dcs:UnemploymentRate_Person_Rural
IN-TR,10.5,2012-03,dcs:UnemploymentRate_Person_Rural
IN-UT,2.5,2012-03,dcs:UnemploymentRate_Person_Rural
IN-UP,0.9,2012-03,dcs:UnemploymentRate_Person_Rural
IN-WB,2.7,2012-03,dcs:UnemploymentRate_Person_Rural
IN-AN,5.4,2012-03,dcs:UnemploymentRate_Person_Rural
IN-LD,16.0,2012-03,dcs:UnemploymentRate_Person_Rural
IN-PY,0.8,2012-03,dcs:UnemploymentRate_Person_Rural
IN,1.7,2012-03,dcs:UnemploymentRate_Person_Rural
IN-AP,3.6,2018-03,dcs:UnemploymentRate_Person_Rural
IN-AR,5.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-AS,8.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-BR,7.0,2018-03,dcs:UnemploymentRate_Person_Rural
IN-CT,2.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-DL,3.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-GA,13.9,2018-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,5.2,2018-03,dcs:UnemploymentRate_Person_Rural
IN-HR,9.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-HP,5.2,2018-03,dcs:UnemploymentRate_Person_Rural
IN-JK,4.2,2018-03,dcs:UnemploymentRate_Person_Rural
IN-JH,7.1,2018-03,dcs:UnemploymentRate_Person_Rural
IN-KA,3.9,2018-03,dcs:UnemploymentRate_Person_Rural
IN-KL,10.0,2018-03,dcs:UnemploymentRate_Person_Rural
IN-MP,3.6,2018-03,dcs:UnemploymentRate_Person_Rural
IN-MH,3.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-MN,11.6,2018-03,dcs:UnemploymentRate_Person_Rural
IN-ML,0.6,2018-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,6.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-NL,21.6,2018-03,dcs:UnemploymentRate_Person_Rural
IN-OR,6.9,2018-03,dcs:UnemploymentRate_Person_Rural
IN-PB,7.8,2018-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,4.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-SK,2.7,2018-03,dcs:UnemploymentRate_Person_Rural
IN-TN,7.9,2018-03,dcs:UnemploymentRate_Person_Rural
IN-TR,6.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-UT,6.9,2018-03,dcs:UnemploymentRate_Person_Rural
IN-UP,5.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-WB,3.8,2018-03,dcs:UnemploymentRate_Person_Rural
IN-AN,14.7,2018-03,dcs:UnemploymentRate_Person_Rural
IN-CH,3.5,2018-03,dcs:UnemploymentRate_Person_Rural
IN-DN,0.7,2018-03,dcs:UnemploymentRate_Person_Rural
IN-DD,6.2,2018-03,dcs:UnemploymentRate_Person_Rural
IN-LD,13.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-PY,10.4,2018-03,dcs:UnemploymentRate_Person_Rural
IN,5.3,2018-03,dcs:UnemploymentRate_Person_Rural
IN-AP,4.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-AR,7.3,2019-03,dcs:UnemploymentRate_Person_Rural
IN-AS,6.3,2019-03,dcs:UnemploymentRate_Person_Rural
IN-BR,10.2,2019-03,dcs:UnemploymentRate_Person_Rural
IN-CT,1.8,2019-03,dcs:UnemploymentRate_Person_Rural
IN-DL,0.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-GA,8.0,2019-03,dcs:UnemploymentRate_Person_Rural
IN-GJ,3.3,2019-03,dcs:UnemploymentRate_Person_Rural
IN-HR,9.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-HP,4.8,2019-03,dcs:UnemploymentRate_Person_Rural
IN-JK,3.9,2019-03,dcs:UnemploymentRate_Person_Rural
IN-JH,4.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-KA,2.7,2019-03,dcs:UnemploymentRate_Person_Rural
IN-KL,8.4,2019-03,dcs:UnemploymentRate_Person_Rural
IN-MP,2.4,2019-03,dcs:UnemploymentRate_Person_Rural
IN-MH,4.2,2019-03,dcs:UnemploymentRate_Person_Rural
IN-MN,9.8,2019-03,dcs:UnemploymentRate_Person_Rural
IN-ML,2.0,2019-03,dcs:UnemploymentRate_Person_Rural
IN-MZ,5.2,2019-03,dcs:UnemploymentRate_Person_Rural
IN-NL,16.2,2019-03,dcs:UnemploymentRate_Person_Rural
IN-OR,6.1,2019-03,dcs:UnemploymentRate_Person_Rural
IN-PB,7.7,2019-03,dcs:UnemploymentRate_Person_Rural
IN-RJ,4.6,2019-03,dcs:UnemploymentRate_Person_Rural
IN-SK,2.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-TN,6.4,2019-03,dcs:UnemploymentRate_Person_Rural
IN-TR,9.3,2019-03,dcs:UnemploymentRate_Person_Rural
IN-UT,7.2,2019-03,dcs:UnemploymentRate_Person_Rural
IN-UP,4.3,2019-03,dcs:UnemploymentRate_Person_Rural
IN-WB,3.5,2019-03,dcs:UnemploymentRate_Person_Rural
IN-AN,14.6,2019-03,dcs:UnemploymentRate_Person_Rural
IN-CH,1.6,2019-03,dcs:UnemploymentRate_Person_Rural
IN-DN,1.1,2019-03,dcs:UnemploymentRate_Person_Rural
IN-LD,40.0,2019-03,dcs:UnemploymentRate_Person_Rural
IN-PY,11.6,2019-03,dcs:UnemploymentRate_Person_Rural
IN,5.0,2019-03,dcs:UnemploymentRate_Person_Rural
