2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Black or African American!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
"Black or African American!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Black or African American!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
"Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
Black or African American!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Black or African American!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Black or African American MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Black or African American!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Black or African American!!Estimate!!Population 16 to 19 years,Estimate!!Black or African American!!Population 16 to 19 years,Estimate!!Black or African American!!Population 16 to 19 years,Estimate!!Black or African American!!Population 16 to 19 years
Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Black or African American!!Margin of Error!!Population 16 to 19 years,Margin of Error!!Black or African American MOE!!Population 16 to 19 years,Margin of Error!!Black or African American MOE!!Population 16 to 19 years,Margin of Error!!Black or African American!!Population 16 to 19 years
Black or African American!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
Black or African American!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Black or African American!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Black or African American MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Black or African American MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Black or African American!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Estimate!!LABOR FORCE STATUS!!In the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Estimate!!Black or African American!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Black or African American!!Margin of Error!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Black or African American MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Black or African American MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force,Margin of Error!!Black or African American!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force
Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Estimate!!Population 15 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years
Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Hispanic or Latino origin (of any race)!!Margin of Error!!Population 15 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years
Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Hispanic or Latino origin (of any race)!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Hispanic or Latino origin (of any race)!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Hispanic or Latino origin (of any race) MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Hispanic or Latino origin (of any race)!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
